Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Kenya,United Arab Emirates,2010,EXPIMP,Animal,5861.37,284.77,2.46,0.02,3.46,5.63,16.31,29.83,34.07,31,100,0,0,0,60,25,0,284.77,0,29.83,34.07,31,100,0,0,0,60,25,0,284.77,0
Kenya,Australia,2010,EXPIMP,Animal,1863.09,133.83,23.22,0.33,24.32,10.62,16.62,25,25,3,100,0,0,0,25,25,0,133.83,0,25,25,3,100,0,0,0,25,25,0,133.83,0
Kenya,Belgium,2010,EXPIMP,Animal,954.65,0.57,1.82,0,0.69,-3.82,-20.9,33.75,40.88,5,100,0,0,0,60,25,0,0.57,0,33.75,40.88,5,100,0,0,0,60,25,0,0.57,0
Kenya,Brazil,2010,EXPIMP,Animal,0.13,459,0.04,0.76,,,,25,25,1,100,0,0,0,25,25,0,459,0,25,25,1,100,0,0,0,25,25,0,459,0
Kenya,Canada,2010,EXPIMP,Animal,35.26,132.92,0.24,0.15,0.19,5.95,121.42,0,0,1,0,100,0,0,0,0,0,0,132.92,0,0,1,0,100,0,0,0,0,0,0,132.92
Kenya,Switzerland,2010,EXPIMP,Animal,153.17,542.91,0.71,0.38,0.01,3.28,-74.42,60,60,1,100,0,0,0,60,60,0,542.91,0,60,60,1,100,0,0,0,60,60,0,542.91,0
Kenya,China,2010,EXPIMP,Animal,1837.49,515.57,5.8,0.03,8.23,17.08,18.55,27.5,25.01,15,100,0,0,0,60,25,0,515.57,0,27.5,25.01,15,100,0,0,0,60,25,0,515.57,0
Kenya,Germany,2010,EXPIMP,Animal,1299.75,285.83,1.34,0.09,1.13,1.55,11.34,24.64,25.47,9,77.78,22.22,0,0,60,0,0,273.05,12.79,24.64,25.47,9,77.78,22.22,0,0,60,0,0,273.05,12.79
Kenya,Denmark,2010,EXPIMP,Animal,252.06,249.79,11.04,0.43,0.68,5.41,-30.05,48.33,57.29,5,100,0,0,0,60,25,0,249.79,0,48.33,57.29,5,100,0,0,0,60,25,0,249.79,0
Kenya,"Egypt, Arab Rep.",2010,EXPIMP,Animal,752.99,135.78,0.33,0.06,0.06,,,0,0,3,0,100,0,0,0,0,0,0,135.79,25,25,3,100,0,0,0,25,25,0,135.79,0
