Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Kenya,United Arab Emirates,2008,EXPIMP,Hides and Skins,13.34,575.05,0.01,0.03,0.09,7.16,-10.17,23.24,24.84,17.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,575.05,0.0,23.24,24.84,17.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,575.05,0.0
Kenya,Australia,2008,EXPIMP,Hides and Skins,0.25,0.38,0.0,0.0,0.06,7.54,1.76,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.38,0.0,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.38,0.0
Kenya,Austria,2008,EXPIMP,Hides and Skins,0.0,1.25,,0.01,0.01,2.58,-71.55,25.0,25.0,5.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,1.25,0.0,25.0,25.0,5.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,1.25,0.0
Kenya,Burundi,2008,EXPIMP,Hides and Skins,0.82,1113.99,0.0,98.68,0.06,64.41,-50.77,0.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.99,10.0,10.0,4.0,100.0,0.0,0.0,0.0,10.0,10.0,0.0,1113.99,0.0
Kenya,Belgium,2008,EXPIMP,Hides and Skins,0.0,25.55,,0.02,0.05,2.18,-27.6,25.0,25.0,4.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,25.55,0.0,25.0,25.0,4.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,25.55,0.0
Kenya,Canada,2008,EXPIMP,Hides and Skins,2.0,24.46,0.02,0.04,0.11,2.74,37.87,25.0,25.0,7.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,24.46,0.0,25.0,25.0,7.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,24.46,0.0
Kenya,Switzerland,2008,EXPIMP,Hides and Skins,4448.15,41.89,10.08,0.05,0.02,3.14,22.84,23.75,23.68,12.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,41.89,0.0,23.75,23.68,12.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,41.89,0.0
Kenya,China,2008,EXPIMP,Hides and Skins,1355.25,8304.35,4.6,0.89,22.5,-0.51,11.25,24.25,25.0,20.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,8304.35,0.0,24.25,25.0,20.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,8304.35,0.0
Kenya,Cyprus,2008,EXPIMP,Hides and Skins,0.0,0.85,,0.0,,,,25.0,25.0,2.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.85,0.0,25.0,25.0,2.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.85,0.0
Kenya,Czech Republic,2008,EXPIMP,Hides and Skins,0.0,1.1,,0.01,0.02,7.75,120.79,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,1.1,0.0,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,1.1,0.0
Kenya,Germany,2008,EXPIMP,Hides and Skins,1.67,35.37,0.0,0.01,0.0,9.99,-74.93,25.0,25.0,19.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,35.37,0.0,25.0,25.0,19.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,35.37,0.0
Kenya,Djibouti,2008,EXPIMP,Hides and Skins,0.47,28.38,0.0,0.13,,,,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,28.38,10.0,10.0,1.0,100.0,0.0,0.0,0.0,10.0,10.0,0.0,28.38,0.0
Kenya,Denmark,2008,EXPIMP,Hides and Skins,13.38,4.95,0.36,0.01,0.29,3.75,-4.79,25.0,25.0,7.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,4.95,0.0,25.0,25.0,7.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,4.95,0.0
Kenya,Spain,2008,EXPIMP,Hides and Skins,561.26,0.99,1.79,0.0,2.66,3.66,10.8,25.0,25.0,2.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.99,0.0,25.0,25.0,2.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.99,0.0
Kenya,Finland,2008,EXPIMP,Hides and Skins,0.02,3.45,0.0,0.0,0.18,2.95,177.63,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,3.45,0.0,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,3.45,0.0
Kenya,France,2008,EXPIMP,Hides and Skins,32.97,425.76,0.05,0.18,0.0,5.92,46.51,25.0,25.0,13.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,425.76,0.0,25.0,25.0,13.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,425.76,0.0
Kenya,United Kingdom,2008,EXPIMP,Hides and Skins,190.25,107.51,0.03,0.03,0.09,2.45,-8.65,24.29,25.0,21.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,107.51,0.0,24.29,25.0,21.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,107.51,0.0
Kenya,Georgia,2008,EXPIMP,Hides and Skins,0.0,0.13,,0.02,,,,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.13,0.0,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.13,0.0
Kenya,"Hong Kong, China",2008,EXPIMP,Hides and Skins,11917.11,537.81,61.49,0.86,18.58,0.26,29.45,25.0,25.0,13.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,537.81,0.0,25.0,25.0,13.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,537.81,0.0
Kenya,Indonesia,2008,EXPIMP,Hides and Skins,1965.72,73.44,20.18,0.02,37.23,69.56,4.49,25.0,25.0,4.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,73.44,0.0,25.0,25.0,4.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,73.44,0.0
Kenya,India,2008,EXPIMP,Hides and Skins,5693.09,178.99,5.8,0.01,50.85,10.3,7.53,24.25,25.0,20.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,178.99,0.0,24.25,25.0,20.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,178.99,0.0
Kenya,Ireland,2008,EXPIMP,Hides and Skins,0.0,3.53,,0.02,0.02,-6.13,-62.58,25.0,25.0,3.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,3.53,0.0,25.0,25.0,3.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,3.53,0.0
Kenya,Iceland,2008,EXPIMP,Hides and Skins,0.47,0.46,35.81,0.16,2.44,-14.26,70.3,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.46,0.0,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.46,0.0
Kenya,Israel,2008,EXPIMP,Hides and Skins,47.99,3.33,0.22,0.0,0.28,,,25.0,25.0,5.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,3.33,0.0,25.0,25.0,5.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,3.33,0.0
Kenya,Italy,2008,EXPIMP,Hides and Skins,10159.17,13.86,23.45,0.01,21.32,-2.77,0.22,25.0,25.0,9.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,13.86,0.0,25.0,25.0,9.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,13.86,0.0
Kenya,Japan,2008,EXPIMP,Hides and Skins,2.25,9.28,0.01,0.0,0.63,2.3,13.34,25.0,25.0,10.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,9.28,0.0,25.0,25.0,10.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,9.28,0.0
Kenya,Cambodia,2008,EXPIMP,Hides and Skins,0.0,4.7,,24.65,,,,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,4.7,0.0,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,4.7,0.0
Kenya,"Korea, Rep.",2008,EXPIMP,Hides and Skins,0.0,26.38,,0.02,1.04,-0.67,0.33,25.0,25.0,2.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,26.38,0.0,25.0,25.0,2.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,26.38,0.0
Kenya,Sri Lanka,2008,EXPIMP,Hides and Skins,0.0,0.07,,0.0,0.0,,,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.07,0.0,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.07,0.0
Kenya,Malawi,2008,EXPIMP,Hides and Skins,105.43,159.33,0.18,14.73,0.93,25.04,527.31,0.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,159.33,10.0,10.0,3.0,100.0,0.0,0.0,0.0,10.0,10.0,0.0,159.33,0.0
Kenya,Malaysia,2008,EXPIMP,Hides and Skins,0.2,39.41,0.0,0.06,,,,25.0,25.0,3.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,39.41,0.0,25.0,25.0,3.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,39.41,0.0
Kenya,Netherlands,2008,EXPIMP,Hides and Skins,56.68,65.52,0.01,0.03,0.0,,,23.75,22.25,12.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,65.52,0.0,23.75,22.25,12.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,65.52,0.0
Kenya,Norway,2008,EXPIMP,Hides and Skins,0.0,0.0,,0.0,0.04,4.54,-28.41,25.0,25.0,2.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,2.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0
Kenya,"Other Asia, nes",2008,EXPIMP,Hides and Skins,0.0,89.96,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
