Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Kenya,Afghanistan,2019,EXPIMP,Textiles and Clothing,87.55,23.05,0.25,84.17,0.07,0.23,-1.98,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Angola,2019,EXPIMP,Textiles and Clothing,5.08,0.3,0.76,5.48,1.93,-1.64,-3.96,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Albania,2019,EXPIMP,Textiles and Clothing,0.0,3.25,,29.29,0.01,-1.3,-62.81,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,United Arab Emirates,2019,EXPIMP,Textiles and Clothing,742.52,9535.74,0.2,0.58,0.11,0.04,-15.97,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Argentina,2019,EXPIMP,Textiles and Clothing,13.48,0.14,46.17,0.0,4.39,-13.63,20.9,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,American Samoa,2019,EXPIMP,Textiles and Clothing,2.81,11.12,0.01,14.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Australia,2019,EXPIMP,Textiles and Clothing,742.23,1802.79,3.14,3.45,0.66,-0.85,16.92,28.18,32.67,15.0,80.0,0.0,0.0,20.0,50.0,25.0,0.0,83.98,0.0,28.18,32.67,15.0,80.0,0.0,0.0,20.0,50.0,25.0,0.0,83.98,0.0
Kenya,Austria,2019,EXPIMP,Textiles and Clothing,14.89,259.4,1.71,0.57,0.92,-1.08,-18.84,26.5,32.74,43.0,74.42,0.0,0.0,25.58,35.0,10.0,0.0,274.04,0.0,26.5,32.74,43.0,74.42,0.0,0.0,25.58,35.0,10.0,0.0,274.04,0.0
Kenya,Azerbaijan,2019,EXPIMP,Textiles and Clothing,0.0,0.47,,70.05,,,,30.0,31.63,4.0,25.0,0.0,0.0,75.0,35.0,25.0,0.0,0.53,0.0,30.0,31.63,4.0,25.0,0.0,0.0,75.0,35.0,25.0,0.0,0.53,0.0
Kenya,Burundi,2019,EXPIMP,Textiles and Clothing,645.17,0.29,0.98,0.04,0.18,29.22,-9.96,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Belgium,2019,EXPIMP,Textiles and Clothing,1438.5,957.91,2.0,0.69,1.99,-3.43,-14.81,25.95,30.96,69.0,75.36,1.45,0.0,23.19,50.0,0.0,0.0,1215.24,0.1,25.95,30.96,69.0,75.36,1.45,0.0,23.19,50.0,0.0,0.0,1215.24,0.1
Kenya,Benin,2019,EXPIMP,Textiles and Clothing,90.66,0.19,59.15,86.25,11.29,3.66,1590.88,30.0,34.93,4.0,25.0,0.0,0.0,75.0,35.0,25.0,0.0,2.58,0.0,30.0,34.93,4.0,25.0,0.0,0.0,75.0,35.0,25.0,0.0,2.58,0.0
Kenya,Burkina Faso,2019,EXPIMP,Textiles and Clothing,449.01,6.44,40.02,89.59,3.99,25.94,63.95,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Bangladesh,2019,EXPIMP,Textiles and Clothing,35.06,8033.65,0.45,49.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Bulgaria,2019,EXPIMP,Textiles and Clothing,0.0,148.96,,3.96,,,,28.33,33.78,5.0,40.0,0.0,0.0,60.0,35.0,25.0,0.0,68.07,0.0,28.33,33.78,5.0,40.0,0.0,0.0,60.0,35.0,25.0,0.0,68.07,0.0
Kenya,Bahrain,2019,EXPIMP,Textiles and Clothing,18.9,3.19,0.81,0.03,2.44,-7.74,59.57,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Belarus,2019,EXPIMP,Textiles and Clothing,0.0,0.66,,0.04,0.01,2.69,8.01,12.5,0.36,2.0,50.0,50.0,0.0,0.0,25.0,0.0,0.0,0.8,55.5,12.5,0.36,2.0,50.0,50.0,0.0,0.0,25.0,0.0,0.0,0.8,55.5
Kenya,Bermuda,2019,EXPIMP,Textiles and Clothing,0.0,0.02,,1.25,9.7,-3.08,-0.42,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Brazil,2019,EXPIMP,Textiles and Clothing,204.28,157.76,32.05,0.31,5.08,-2.04,292.21,21.82,17.91,12.0,58.33,16.67,0.0,25.0,35.0,0.0,0.0,72.25,21.7,21.82,17.91,12.0,58.33,16.67,0.0,25.0,35.0,0.0,0.0,72.25,21.7
Kenya,Botswana,2019,EXPIMP,Textiles and Clothing,7.53,205.76,0.38,43.3,3.63,-7.05,176.74,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.08,0.0,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.08,0.0
Kenya,Central African Republic,2019,EXPIMP,Textiles and Clothing,19.75,1.22,1.89,95.28,0.27,41.46,-52.63,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Canada,2019,EXPIMP,Textiles and Clothing,3117.76,15923.65,10.87,11.84,8.29,1.04,3.58,27.97,34.71,35.0,48.57,2.86,0.0,48.57,35.0,0.0,0.0,16577.99,1.75,27.97,34.71,35.0,48.57,2.86,0.0,48.57,35.0,0.0,0.0,16577.99,1.75
Kenya,Switzerland,2019,EXPIMP,Textiles and Clothing,70.48,220.48,0.3,0.28,0.15,0.39,1.43,26.16,25.36,44.0,75.0,0.0,0.0,25.0,35.0,10.0,0.0,214.06,0.0,26.16,25.36,44.0,75.0,0.0,0.0,25.0,35.0,10.0,0.0,214.06,0.0
Kenya,Chile,2019,EXPIMP,Textiles and Clothing,130.28,0.91,3.81,0.0,2.59,-5.8,35.85,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,31.63,0.0,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,31.63,0.0
Kenya,China,2019,EXPIMP,Textiles and Clothing,6414.99,449003.34,4.32,12.51,3.02,-2.91,19.76,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Cote d'Ivoire,2019,EXPIMP,Textiles and Clothing,475.08,2.53,10.01,0.3,5.51,2.76,-33.25,26.94,28.77,10.0,80.0,0.0,0.0,20.0,50.0,10.0,0.0,22.01,0.0,26.94,28.77,10.0,80.0,0.0,0.0,20.0,50.0,10.0,0.0,22.01,0.0
Kenya,Cameroon,2019,EXPIMP,Textiles and Clothing,7.79,18.99,2.46,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Colombia,2019,EXPIMP,Textiles and Clothing,8.51,0.99,0.83,0.28,3.8,-3.22,-14.81,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Costa Rica,2019,EXPIMP,Textiles and Clothing,0.0,0.03,,0.01,19.38,0.5,-3.52,,,,,,,,,,,,,,,,,,,,,,,,
