reporter_name,partner_name,year,trade_flow,product_group,export_(us$_thousand),import_(us$_thousand),export_product_share_(%),import_product_share_(%),revealed_comparative_advantage,world_growth_(%),country_growth_(%),ahs_simple_average_(%),ahs_weighted_average_(%),ahs_total_tariff_lines,ahs_dutiable_tariff_lines_share_(%),ahs_duty_free_tariff_lines_share_(%),ahs_specific_tariff_lines_share_(%),ahs_ave_tariff_lines_share_(%),ahs_maxrate_(%),ahs_minrate_(%),ahs_specificduty_imports_(us$_thousand),ahs_dutiable_imports_(us$_thousand),ahs_duty_free_imports_(us$_thousand),mfn_simple_average_(%),mfn_weighted_average_(%),mfn_total_tariff_lines,mfn_dutiable_tariff_lines_share_(%),mfn_duty_free_tariff_lines_share_(%),mfn_specific_tariff_lines_share_(%),mfn_ave_tariff_lines_share_(%),mfn_maxrate_(%),mfn_minrate_(%),mfn_specificduty_imports_(us$_thousand),mfn_dutiable_imports_(us$_thousand),mfn_duty_free_imports_(us$_thousand)
Kenya,Afghanistan,2021.0,EXPIMP,Textiles and Clothing,28.14,15.43,0.51,39.36,8.027710785103983,2.2919585332419463,36.26888793694311,33.59,42.4,32.0,90.63,0.0,0.0,9.38,52.3,25.0,0.0,15.43,0.0,33.59,42.4,32.0,90.63,0.0,0.0,9.38,52.3,25.0,0.0,15.43,0.0
Kenya,Angola,2021.0,EXPIMP,Textiles and Clothing,3.27,0.37,0.34,1.07,0.1,32.31,-25.06,28.27,46.44,4.0,25.0,0.0,0.0,75.0,52.3,10.0,0.0,0.37,0.0,28.27,46.44,4.0,25.0,0.0,0.0,75.0,52.3,10.0,0.0,0.37,0.0
Kenya,Anguila,2021.0,EXPIMP,Textiles and Clothing,0.0,0.01,16.746330708661418,100.0,8.027710785103983,2.2919585332419463,36.26888793694311,35.0,35.0,1.0,100.0,0.0,0.0,0.0,35.0,35.0,0.0,0.01,0.0,35.0,35.0,1.0,100.0,0.0,0.0,0.0,35.0,35.0,0.0,0.01,0.0
Kenya,Albania,2021.0,EXPIMP,Textiles and Clothing,0.0,4.94,16.746330708661418,40.89,0.34,13.48,301.14,35.0,35.0,1.0,100.0,0.0,0.0,0.0,35.0,35.0,0.0,4.94,0.0,35.0,35.0,1.0,100.0,0.0,0.0,0.0,35.0,35.0,0.0,4.94,0.0
Kenya,United Arab Emirates,2021.0,EXPIMP,Textiles and Clothing,547.81,11565.52,0.17,0.71,0.15,14.83,14.54,29.26,35.49,239.0,97.49,1.26,0.0,1.26,52.3,0.0,0.0,11367.51,194.9,29.26,35.49,239.0,97.49,1.26,0.0,1.26,52.3,0.0,0.0,11367.51,194.9
Kenya,Argentina,2021.0,EXPIMP,Textiles and Clothing,0.0,1.09,16.746330708661418,0.0,2.86,11.08,21.2,27.18,45.0,5.0,40.0,0.0,0.0,60.0,52.3,10.0,0.0,1.09,0.0,27.18,45.0,5.0,40.0,0.0,0.0,60.0,52.3,10.0,0.0,1.09,0.0
Kenya,Armenia,2021.0,EXPIMP,Textiles and Clothing,1.5,9.19,6.05,16.48,0.64,11.0,181.25,35.0,35.0,3.0,100.0,0.0,0.0,0.0,35.0,35.0,0.0,9.19,0.0,35.0,35.0,3.0,100.0,0.0,0.0,0.0,35.0,35.0,0.0,9.19,0.0
Kenya,Australia,2021.0,EXPIMP,Textiles and Clothing,1491.94,2741.43,6.36,1.16,1.42,3.51,32.96,32.83,46.17,125.0,97.6,0.0,0.0,2.4,52.3,10.0,0.0,2741.42,0.0,32.83,46.17,125.0,97.6,0.0,0.0,2.4,52.3,10.0,0.0,2741.42,0.0
Kenya,Austria,2021.0,EXPIMP,Textiles and Clothing,25.09,33.54,13.09,0.16,1.51,2.62,18.8,30.98,26.37,24.0,87.5,0.0,0.0,12.5,52.3,10.0,0.0,33.54,0.0,30.98,26.37,24.0,87.5,0.0,0.0,12.5,52.3,10.0,0.0,33.54,0.0
Kenya,Burundi,2021.0,EXPIMP,Textiles and Clothing,1254.68,3.46,1.83,0.08,0.43,10.08,-8.18,0.0,0.0,7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,33.31,43.49,7.0,57.14,0.0,0.0,42.86,52.3,25.0,0.0,3.46,0.0
Kenya,Belgium,2021.0,EXPIMP,Textiles and Clothing,1409.41,1169.2,1.95,0.53,3.36,1.6,2.84,27.96,35.16,94.0,94.68,2.13,0.0,3.19,52.3,0.0,0.0,1146.22,22.98,27.96,35.16,94.0,94.68,2.13,0.0,3.19,52.3,0.0,0.0,1146.22,22.98
Kenya,Benin,2021.0,EXPIMP,Textiles and Clothing,467.33,1.33,40.54,6.6,6.22,-0.14,76.65,36.92,40.24,8.0,62.5,0.0,0.0,37.5,52.3,35.0,0.0,1.33,0.0,36.92,40.24,8.0,62.5,0.0,0.0,37.5,52.3,35.0,0.0,1.33,0.0
Kenya,Burkina Faso,2021.0,EXPIMP,Textiles and Clothing,122.9,4.64,6.14,24.95,14.27,-0.38,-11.32,25.31,36.38,7.0,57.14,0.0,0.0,42.86,52.3,10.0,0.0,4.64,0.0,25.31,36.38,7.0,57.14,0.0,0.0,42.86,52.3,10.0,0.0,4.64,0.0
Kenya,Bangladesh,2021.0,EXPIMP,Textiles and Clothing,3.59,6914.15,0.1,33.2,8.027710785103983,2.2919585332419463,36.26888793694311,33.05,27.48,142.0,97.89,0.0,0.0,2.11,52.3,10.0,0.0,6914.15,0.0,33.05,27.48,142.0,97.89,0.0,0.0,2.11,52.3,10.0,0.0,6914.15,0.0
Kenya,Bulgaria,2021.0,EXPIMP,Textiles and Clothing,0.2,14.08,0.05,0.37,8.027710785103983,2.2919585332419463,36.26888793694311,31.43,28.25,24.0,87.5,0.0,0.0,12.5,52.3,10.0,0.0,14.08,0.0,31.43,28.25,24.0,87.5,0.0,0.0,12.5,52.3,10.0,0.0,14.08,0.0
Kenya,Bahrain,2021.0,EXPIMP,Textiles and Clothing,0.0,20.27,16.746330708661418,0.08,0.06,-6.09,-65.21,30.52,43.77,24.0,87.5,0.0,0.0,12.5,52.3,25.0,0.0,20.27,0.0,30.52,43.77,24.0,87.5,0.0,0.0,12.5,52.3,25.0,0.0,20.27,0.0
Kenya,Bosnia and Herzegovina,2021.0,EXPIMP,Textiles and Clothing,0.0,2.2,16.746330708661418,0.93,0.56,11.67,127.91,37.88,42.97,6.0,50.0,0.0,0.0,50.0,52.3,35.0,0.0,2.2,0.0,37.88,42.97,6.0,50.0,0.0,0.0,50.0,52.3,35.0,0.0,2.2,0.0
Kenya,Belarus,2021.0,EXPIMP,Textiles and Clothing,0.01,51.65,0.0,3.65,0.01,5.81,10.94,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,51.65,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,51.65
Kenya,Bermuda,2021.0,EXPIMP,Textiles and Clothing,0.55,0.01,9.7,0.1,14.91,6.68,-30.22,30.0,26.41,2.0,100.0,0.0,0.0,0.0,35.0,25.0,0.0,0.01,0.0,30.0,26.41,2.0,100.0,0.0,0.0,0.0,35.0,25.0,0.0,0.01,0.0
Kenya,Bolivia,2021.0,EXPIMP,Textiles and Clothing,0.0,0.11,16.746330708661418,7.37,39.36,2.64,24.55,35.0,35.0,1.0,100.0,0.0,0.0,0.0,35.0,35.0,0.0,0.11,0.0,35.0,35.0,1.0,100.0,0.0,0.0,0.0,35.0,35.0,0.0,0.11,0.0
