Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Kenya,United Arab Emirates,2008,EXPIMP,Vegetable,51935.8,1277.31,47.29,0.08,5.02,25.91,18.82,25.25,48.7,80.0,92.5,5.0,0.0,2.5,75.0,0.0,0.0,1206.72,44.75,25.25,48.7,80.0,92.5,5.0,0.0,2.5,75.0,0.0,0.0,1206.72,44.75
Kenya,Argentina,2008,EXPIMP,Vegetable,128.82,81545.82,91.83,97.98,29.83,32.01,11.65,22.22,21.36,8.0,75.0,25.0,0.0,0.0,50.0,0.0,0.0,75458.88,6086.94,22.22,21.36,8.0,75.0,25.0,0.0,0.0,50.0,0.0,0.0,75458.88,6086.94
Kenya,Antigua and Barbuda,2008,EXPIMP,Vegetable,27.36,22.57,93.79,100.0,,,,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,22.57,0.0,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,22.57,0.0
Kenya,Australia,2008,EXPIMP,Vegetable,4130.42,302.55,61.04,1.5,39.24,9.0,3.96,10.0,1.5,5.0,40.0,60.0,0.0,0.0,25.0,0.0,0.0,4.13,64.63,10.0,1.5,5.0,40.0,60.0,0.0,0.0,25.0,0.0,0.0,4.13,64.63
Kenya,Austria,2008,EXPIMP,Vegetable,3916.39,37.7,95.09,0.23,40.12,10.68,28.66,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15
Kenya,Belgium,2008,EXPIMP,Vegetable,25436.54,2645.13,62.25,2.21,20.45,13.69,-1.38,16.11,10.27,9.0,77.78,22.22,0.0,0.0,25.0,0.0,0.0,2643.63,1.5,16.11,10.27,9.0,77.78,22.22,0.0,0.0,25.0,0.0,0.0,2643.63,1.5
Kenya,Brazil,2008,EXPIMP,Vegetable,68.04,6203.49,3.13,9.15,0.47,19.49,574.16,9.0,5.21,5.0,60.0,40.0,0.0,0.0,25.0,0.0,0.0,3191.45,3012.04,9.0,5.21,5.0,60.0,40.0,0.0,0.0,25.0,0.0,0.0,3191.45,3012.04
Kenya,Canada,2008,EXPIMP,Vegetable,9596.48,10019.21,88.93,15.27,33.44,7.64,-1.22,37.04,23.64,11.0,81.82,9.09,0.0,9.09,75.0,0.0,0.0,10006.22,0.0,37.04,23.64,11.0,81.82,9.09,0.0,9.09,75.0,0.0,0.0,10006.22,0.0
Kenya,Switzerland,2008,EXPIMP,Vegetable,13198.9,1235.75,29.92,1.54,57.7,9.77,-14.09,22.92,22.03,10.0,60.0,30.0,0.0,10.0,75.0,0.0,0.0,1117.65,116.4,22.92,22.03,10.0,60.0,30.0,0.0,10.0,75.0,0.0,0.0,1117.65,116.4
Kenya,Chile,2008,EXPIMP,Vegetable,1910.06,1875.59,92.48,74.3,25.03,16.12,16.91,0.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1875.6,0.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1875.6
Kenya,China,2008,EXPIMP,Vegetable,6788.16,2367.23,23.06,0.25,6.61,27.88,16.92,20.66,20.58,42.0,71.43,23.81,0.0,4.76,75.0,0.0,0.0,1859.35,353.3,20.66,20.58,42.0,71.43,23.81,0.0,4.76,75.0,0.0,0.0,1859.35,353.3
Kenya,Colombia,2008,EXPIMP,Vegetable,214.34,82.89,13.52,17.44,9.16,,,0.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,82.89,0.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,82.89
Kenya,Costa Rica,2008,EXPIMP,Vegetable,0.14,64.89,100.0,45.24,,,,10.0,10.0,1.0,100.0,0.0,0.0,0.0,10.0,10.0,0.0,64.89,0.0,10.0,10.0,1.0,100.0,0.0,0.0,0.0,10.0,10.0,0.0,64.89,0.0
Kenya,Cyprus,2008,EXPIMP,Vegetable,367.22,0.11,48.88,0.0,12.32,18.76,4.35,25.0,25.0,2.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.11,0.0,25.0,25.0,2.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.11,0.0
Kenya,Germany,2008,EXPIMP,Vegetable,62834.04,15518.52,70.36,3.98,19.59,14.62,4.25,14.22,17.24,48.0,64.58,35.42,0.0,0.0,35.0,0.0,0.0,12435.26,2892.6,14.22,17.24,48.0,64.58,35.42,0.0,0.0,35.0,0.0,0.0,12435.26,2892.6
Kenya,Denmark,2008,EXPIMP,Vegetable,526.69,1961.54,14.05,2.84,8.63,15.32,-6.92,12.5,1.95,12.0,50.0,50.0,0.0,0.0,25.0,0.0,0.0,152.63,1808.91,12.5,1.95,12.0,50.0,50.0,0.0,0.0,25.0,0.0,0.0,152.63,1808.91
Kenya,Ecuador,2008,EXPIMP,Vegetable,0.2,25.67,100.0,3.12,12.07,20.7,-27.74,16.67,12.21,3.0,66.67,33.33,0.0,0.0,25.0,0.0,0.0,12.54,13.13,16.67,12.21,3.0,66.67,33.33,0.0,0.0,25.0,0.0,0.0,12.54,13.13
Kenya,"Egypt, Arab Rep.",2008,EXPIMP,Vegetable,216477.83,7200.11,96.33,4.57,7.68,34.33,330.17,0.0,0.0,9.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7200.11,33.33,65.52,9.0,66.67,11.11,0.0,22.22,75.0,0.0,0.0,7156.53,43.58
Kenya,Spain,2008,EXPIMP,Vegetable,4474.47,734.21,14.28,1.5,4.63,11.58,48.78,18.06,5.33,18.0,72.22,27.78,0.0,0.0,25.0,0.0,0.0,156.54,577.68,18.06,5.33,18.0,72.22,27.78,0.0,0.0,25.0,0.0,0.0,156.54,577.68
Kenya,Ethiopia(excludes Eritrea),2008,EXPIMP,Vegetable,9623.27,1738.64,15.06,59.79,0.55,75.78,-25.12,1.81,2.33,22.0,72.73,27.27,0.0,0.0,3.5,0.0,0.0,1644.96,93.68,18.07,23.28,22.0,72.73,27.27,0.0,0.0,35.0,0.0,0.0,1644.96,93.68
Kenya,France,2008,EXPIMP,Vegetable,37902.17,1333.28,52.56,0.56,18.77,12.45,5.95,15.0,7.39,19.0,63.16,36.84,0.0,0.0,25.0,0.0,0.0,401.91,931.37,15.0,7.39,19.0,63.16,36.84,0.0,0.0,25.0,0.0,0.0,401.91,931.37
Kenya,United Kingdom,2008,EXPIMP,Vegetable,493135.75,4465.26,89.56,1.11,32.1,5.57,4.59,20.37,15.99,113.0,82.3,16.81,0.0,0.88,75.0,0.0,0.0,3507.32,736.46,20.37,15.99,113.0,82.3,16.81,0.0,0.88,75.0,0.0,0.0,3507.32,736.46
